,Unnamed: 0,CASE_NUMBER,CASE_STATUS,CASE_RECEIVED_DATE,DECISION_DATE,EMPLOYER_NAME,PREVAILING_WAGE_SUBMITTED,PREVAILING_WAGE_SUBMITTED_UNIT,PAID_WAGE_SUBMITTED,PAID_WAGE_SUBMITTED_UNIT,JOB_TITLE,WORK_CITY,EDUCATION_LEVEL_REQUIRED,COLLEGE_MAJOR_REQUIRED,EXPERIENCE_REQUIRED_Y_N,EXPERIENCE_REQUIRED_NUM_MONTHS,COUNTRY_OF_CITIZENSHIP,PREVAILING_WAGE_SOC_CODE,PREVAILING_WAGE_SOC_TITLE,WORK_STATE,WORK_STATE_ABBREVIATION,WORK_POSTAL_CODE,FULL_TIME_POSITION_Y_N,VISA_CLASS,PREVAILING_WAGE_PER_YEAR,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order,QOL_Poor,QOL_Average,QOL_High,QOL
0,8,I-200-14295-927732,certified,10/23/2014,10/29/2014,AIG PC GLOBAL SERVICES INC,156125.0,year,165000.0,year,"SENIOR MANAGER, DATA SCIENTIST",NEW YORK,,,,,,15-2031,OPERATIONS RESEARCH ANALYSTS,New York,NY,10038,y,H-1B,156125.0,165000.0,data scientist,712,,,High,High
1,9,I-200-14225-240052,certified,8/13/2014,8/19/2014,JPMORGAN CHASE & CO,156125.0,year,165000.0,year,"VICE PRESIDENT, DATA SCIENTIST LEAD",NEW YORK,,,,,,15-2031,Operations Research Analysts,New York,NY,,y,H-1B,156125.0,165000.0,data scientist,713,,,High,High
2,10,I-200-14261-154514,certified,9/19/2014,9/25/2014,INTUIT INC,152776.0,year,175000.0,year,DATA SCIENTIST,MOUNTAIN VIEW,,,,,,15-1132,"Software Developers, Applications",California,CA,,y,H-1B,152776.0,175000.0,data scientist,855,,,High,High
3,11,I-200-14226-147518,certified,8/15/2014,8/21/2014,APPLE INC,152776.0,year,173000.0,year,DATA SCIENTIST,CUPERTINO,,,,,,15-1132,"Software Developers, Applications",California,CA,,y,H-1B,152776.0,173000.0,data scientist,860,,,High,High
4,12,I-200-14339-207051,certified,12/11/2014,12/17/2014,FIRST REPUBLIC BANK,150758.0,year,160000.0,year,SENIOR RISK DATA ANALYST,SAN FRANCISCO,,,,,,13-2051,FINANCIAL ANALYSTS,California,CA,94111,y,H-1B,150758.0,160000.0,data analyst,1040,,,High,High
5,14,I-200-15049-078537,certified-withdrawn,2/24/2015,3/3/2015,ADOBE SYSTEMS INCORPORATED,150238.0,year,183066.0,year,DATA SCIENTIST,SAN JOSE,,,,,,15-2041,STATISTICIANS,California,CA,95110,y,H-1B,150238.0,183066.0,data scientist,1051,,,High,High
6,15,I-200-15063-650424,certified,3/4/2015,3/10/2015,ADOBE SYSTEMS INCORPORATED,150238.0,year,183066.0,year,DATA SCIENTIST,SAN JOSE,,,,,,15-2041,STATISTICIANS,California,CA,95110,y,H-1B,150238.0,183066.0,data scientist,1052,,,High,High
7,16,I-200-15061-735548,certified,3/2/2015,3/6/2015,AVISO INC,150238.0,year,165000.0,year,SENIOR DATA SCIENTIST,PALO ALTO,,,,,,15-2041,STATISTICIANS,California,CA,94306,y,H-1B,150238.0,165000.0,data scientist,1053,,,High,High
8,17,I-200-15054-384630,withdrawn,3/2/2015,3/2/2015,AVISO INC,150238.0,year,165000.0,year,SENIOR DATA ANALYST,PALO ALTO,,,,,,15-2041,STATISTICIANS,California,CA,94306,y,H-1B,150238.0,165000.0,data analyst,1054,,,High,High
9,19,I-200-14303-872068,certified,10/30/2014,11/5/2014,24/7 CUSTOMER INC,148803.0,year,160000.0,year,SR. SOFTWARE ENGINEER - BIG DATA,CAMPBELL,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,95008,y,H-1B,148803.0,160000.0,software engineer,1131,,,High,High
